episode_cnt,recent_win_rate,avg_reward,avg_q_value,epsilon
100,0.5,135.3964406656871,-1.0579979451426151,0.09990236269377084
200,0.82,110.5219643289657,-1.0551476705833218,0.0997963925565329
300,0.74,95.65444864716021,-1.0524702488305442,0.09968368133689208
400,0.8,102.93352137105352,-1.0460075967921088,0.0995579349852695
500,0.72,105.6640598602075,-1.0399263451227003,0.09944888920407882
600,0.8,103.14768986550757,-1.0371685624043718,0.09934054896822984
700,0.76,93.91185777691804,-1.0325684435614921,0.09923046120865031
800,0.68,87.93950313433571,-1.0333787089926887,0.09912198226535365
900,0.66,89.34161088425019,-1.0304050445661275,0.09902160768229405
1000,0.64,80.18680262226634,-1.028773028246923,0.09892385232231711
1100,0.2,59.235926231313066,-1.022607224027615,0.09861989692603922
1200,0.14,45.94682683946483,-1.0203165248630413,0.09833794703384752
1300,0.1,21.93981971789717,-1.0206030479695372,0.09810100248179064
1400,0.16,21.968011278349856,-1.01793457654294,0.09783632070299238
1500,0.2,30.91848666383626,-1.0148346553677932,0.09760222939960192
1600,0.12,26.85994766622714,-1.013754140482374,0.09738571973901841
1700,0.04,24.863143541880213,-1.013305433857542,0.09719195934527464
1800,0.04,18.776884490793815,-1.0121086583228216,0.09696658020802379
1900,0.18,24.897403550060872,-1.0083257753491006,0.09673502457150654
2000,0.08,25.750042280903447,-1.0088681829872719,0.09649520182377604
2100,0.52,38.1624045178237,-1.0077639991361977,0.09639114446954208
2200,0.74,41.9833159591474,-1.005622352683827,0.09628346345649358
2300,0.68,48.2000301842333,-1.0043560227362562,0.09618650190541601
2400,0.8,43.845680780112886,-1.0041190763789147,0.09609226128174408
2500,0.68,49.72066240628515,-1.0034537375960857,0.0959941675507177
2600,0.66,56.93868472797799,-1.0033363911604896,0.09588470545971133
2700,0.62,47.96371615094214,-1.0036196593025766,0.09578358127842444
2800,0.56,46.573538184654275,-1.0031913556537535,0.09568159257397998
2900,0.64,44.41919001271207,-1.002057711174269,0.095582374397475
3000,0.62,48.19367864724433,-1.0007592788891868,0.09547779762008922
3100,0.0,33.7772700861249,-1.000428285764765,0.0952870280839772
3200,0.08,34.29715657782698,-0.9978740800422966,0.09510271182963313
3300,0.06,36.49035650273484,-0.9952001264931254,0.09486864348592505
3400,0.14,50.13456775274922,-0.990915104892482,0.09466848760634636
3500,0.06,41.34747934500119,-0.9908223217989666,0.09440608062858465
3600,0.08,36.59820481641391,-0.9907935823398791,0.09418492005779537
3700,0.02,30.318336262132558,-0.9915701263545801,0.09396142581659214
3800,0.06,25.298965135849656,-0.9916195135036803,0.09373542952135223
3900,0.06,20.5529257304626,-0.9915944501171051,0.09353477892815854
4000,0.06,10.961499198956426,-0.9925601938048777,0.09331349461559474
4100,0.76,24.297992350295168,-0.9899223848302371,0.09321148877286334
4200,0.74,32.17671352999114,-0.9880339121879929,0.09311471560668905
4300,0.58,34.960860301684555,-0.9881249033300948,0.09301919634236558
4400,0.66,43.56427121537023,-0.9874994433217572,0.09293005227712606
4500,0.66,42.971461529033576,-0.9882788321909806,0.09283135260543933
4600,0.72,50.297174179493695,-0.9865849262758987,0.0927016186930843
4700,0.66,48.033729403781564,-0.9850099711398886,0.09260347648871396
4800,0.48,44.16550154256572,-0.9852737888209605,0.09249581349608196
4900,0.56,45.78204239679578,-0.9843829778778038,0.0924082105963808
5000,0.72,44.984000296385716,-0.9838319516920833,0.09230814975120782
5100,0.04,34.16830305672777,-0.9819172420997038,0.09210440622673592
5200,0.04,20.033326233856897,-0.982107864615911,0.09193201015970141
5300,0.06,16.748132730436897,-0.9819123939815747,0.09172202481359676
5400,0.04,18.787157056236893,-0.9800573169092917,0.09154671456820641
5500,0.02,25.600641994105683,-0.9802891274564434,0.09136712067219223
5600,0.08,27.78285574083309,-0.9799201514042725,0.09117655882592049
5700,0.02,26.67124873222708,-0.9789787002814432,0.09098679477018395
5800,0.08,39.76672075399589,-0.9750816500794705,0.0907683252155871
5900,0.02,44.24873692071254,-0.9736385654081735,0.0905565061716147
6000,0.06,36.65432323564419,-0.973267679434663,0.09032439991438297
6100,0.68,34.89484114927854,-0.9724252721316805,0.09022637890368516
6200,0.72,38.40336326073288,-0.9717094674411023,0.09013222270186216
6300,0.6,45.94829648796942,-0.9709067646575404,0.09002574935005184
6400,0.7,45.250195704546414,-0.9700880664464437,0.08990631945386648
6500,0.6,49.21448408077648,-0.9693505330800923,0.08981798496309869
6600,0.5,47.82947343412792,-0.9692512143918047,0.0897117258252149
6700,0.7,43.60331934615565,-0.9679740604857467,0.08960538182426969
6800,0.58,45.31020873968779,-0.9658317401183437,0.08950745636506195
6900,0.6,45.40202053403345,-0.9660851377178168,0.08940918193592826
7000,0.68,44.63457352156559,-0.9658060765397738,0.08930037909809155
7100,0.04,42.38035271650747,-0.9656654500603983,0.08910035627229242
7200,0.02,23.742040383796585,-0.9665781806883694,0.0888848029954018
7300,0.1,16.836370791826607,-0.9679000154901632,0.08869372412960833
7400,0.06,18.89725369378881,-0.9670441309118613,0.08849505129333994
7500,0.06,22.672676115988804,-0.96651175440433,0.08829602439909082
7600,0.06,24.72110017821632,-0.9646150743674285,0.08808627507162277
7700,0.04,26.47600011658781,-0.9648796569557724,0.0878513281299562
7800,0.08,29.297598491076723,-0.9636316646161528,0.0875965297647459
7900,0.12,35.06388888177314,-0.962751676329855,0.08735945142757677
8000,0.1,38.293671292335105,-0.9599463133154715,0.08717589702796542
8100,0.6,38.97491820790633,-0.9604200668758736,0.08707920723443745
8200,0.54,33.77102528192201,-0.9616780246273458,0.08698397727325838
8300,0.64,34.922758117541996,-0.9634010224483156,0.08687857745623315
8400,0.72,36.75884247629899,-0.9634119186067235,0.08679027119376703
8500,0.6,39.53401558157333,-0.963641683586737,0.08670234514108703
8600,0.74,38.91347146037911,-0.9629875488173593,0.08662533998687312
